,Dem,T_DryBulb,T_DewPnt,fest,dlf,dfnl,D_cf,med,des,der,med_d,des_d,d_s,d,j,l,m,s,v,w,d_cf,j_cf,l_cf,m_cf,s_cf,v_cf,w_cf
2015-10-07 13:00:00,0.5892248899227382,66,49,0,0,0,,0.6014347844147213,0.04158510147530336,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 14:00:00,0.5900141231203788,68,49,0,0,0,,0.6011464650660464,0.04253744167615123,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 15:00:00,0.5918002824624076,68,49,0,0,0,,0.6108664949738307,0.04580827950601824,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 16:00:00,0.5987787654731246,68,49,0,0,0,,0.6483726842236438,0.05729792714066613,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 17:00:00,0.6084157182022099,68,49,0,0,0,,0.6849655645094292,0.0688607569139981,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 18:00:00,0.6283542410899726,65,49,0,0,0,,0.6813048932458254,0.06345286429854842,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 19:00:00,0.6354158012793886,63,49,0,0,0,,0.6600066461742959,0.04994243199047821,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 20:00:00,0.6071695605217247,59,50,0,0,0,,0.6412727423776688,0.0402482655434922,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 21:00:00,0.5611448035224724,58,49,0,0,0,,0.5979438813657888,0.03831074271072138,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 22:00:00,0.503281548558611,57,49,0,0,0,,0.5432416715128354,0.037519156150521295,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-07 23:00:00,0.4527290853202625,57,49,0,0,0,,0.489424524383152,0.03736691428163734,,13.895887887347344,0.977012690780489,w,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-10-08 00:00:00,0.4203289856276481,57,48,0,0,0,,0.4461659882030406,0.03856679140762063,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 01:00:00,0.40180277477776855,56,48,0,0,0,,0.4268505441555205,0.03939055978655513,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 02:00:00,0.3929135166569743,55,48,0,0,0,,0.4178782088560272,0.04062990079560885,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 03:00:00,0.39087812577884856,53,47,0,0,0,,0.4180435324416383,0.041852831010277536,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 04:00:00,0.40188585195646753,52,46,0,0,0,,0.4304644014289275,0.04350290225028923,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 05:00:00,0.44329982553792474,51,45,0,0,0,,0.4761153111240342,0.046369852229755544,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 06:00:00,0.5192323668688211,50,44,0,0,0,,0.5494091551050927,0.05209312690910792,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 07:00:00,0.5584863338041041,49,43,0,0,0,,0.591824582537177,0.05131797681769174,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 08:00:00,0.5670848217994517,50,44,0,0,0,,0.6003572318684057,0.0460489110794057,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 09:00:00,0.5702832931793637,54,44,0,0,0,,0.6053834011796959,0.04197348258718457,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 10:00:00,0.5744371521143142,57,41,0,0,0,,0.6087064883276564,0.03852996475067613,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 11:00:00,0.5748109994184597,59,40,0,0,0,,0.6038049347844148,0.036397126097520126,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 12:00:00,0.5743125363462657,60,40,0,0,0,,0.595123369610368,0.03545703521426423,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 13:00:00,0.5774279305474787,61,41,0,0,0,,0.5942486084572568,0.034824198693015986,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 14:00:00,0.5754340782587023,62,41,0,0,0,,0.5898895073523304,0.035354874816662496,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 15:00:00,0.5744786907036638,62,41,0,0,0,,0.6013126194234444,0.03877884189481295,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 16:00:00,0.5800448616764975,62,42,0,0,0,,0.6354275567001745,0.049216692379167634,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 17:00:00,0.5898479687629808,61,43,0,0,0,,0.6668189748276149,0.06340752000537664,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 18:00:00,0.6143972750685387,60,44,0,0,0,,0.6573481764559276,0.06430841392482783,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
